username,content,score,at,sentimen
Siti Fakhirah Qorrian,kualitas nya bagus,5,10/16/2025 21:14,Netral
Agus Marwanto,memuaskan,5,10/16/2025 21:14,Netral
Amir Silaen,makasih terbayar nostalgia aku,5,10/16/2025 19:22,Netral
nico qivo,great,5,10/15/2025 23:44,Netral
Muhammad Ichwan,good,5,10/15/2025 23:35,Netral
Cinta Novelia Rosa,jujur kenapa tiba-tiba ngestuck gak bisa play tontonan deh?? udah di perbarui padahal apknya masih gak bisa bisa,3,10/15/2025 21:41,Netral
Xgamerz,"netflik knapa ya... voice nya kecil, giliran sfx nya gede bngt, toling d perbaiki ini..smua filmnya kaya gini",4,10/16/2025 14:16,Netral
Dewi Riski,terlalu banyak film korea,4,10/16/2025 0:06,Netral
Krisman Batubara,mantap,5,10/12/2025 17:36,Netral
putu widiantara,ribet settingan ke smart tv,4,10/12/2025 11:45,Netral
Fina Fina,tempat nonton film yang sangat pas,4,10/12/2025 7:35,Netral
Rini Anugrah86,bagus banget,5,10/12/2025 1:31,Netral
Mujib Syawaludin,susah masuk apalah ini aplikasi,5,10/11/2025 21:50,Netral
Subhan Muhammad,mantap,5,10/11/2025 20:18,Netral
ilhamuddin Qosim,good,5,10/10/2025 11:10,Netral
mobile legends,bagus vidio vidio nya?,5,10/10/2025 6:40,Netral
I Nyoman Ronal,top,5,10/10/2025 2:11,Netral
Iman Player,film bagus,5,10/10/2025 1:08,Netral
zafranrazaq Pratama,akhirnya bisa nonton anime dengan legal,5,10/9/2025 22:29,Netral
Sri Mulyani,mantap,5,10/9/2025 11:32,Netral
Mirza Mirzaa,bagussss film nyaaa,5,10/9/2025 11:26,Netral
berkah usahabersama,bagus,5,10/8/2025 22:28,Netral
Fuji Setiawan,fujisetiawan,5,10/8/2025 21:25,Netral
jua akbar,sangat baik untuk menonton film,5,10/8/2025 20:17,Netral
Dedi Kenedi Channel,Ga jln aplikasinyav,4,10/8/2025 18:56,Netral
larry setiawan,sudah lebih baik sekarang,3,10/8/2025 14:38,Netral
Bunda Aqillah,ok,5,10/8/2025 9:28,Netral
Bulanivanka,oc,5,10/8/2025 5:52,Netral
Irham Fadly,ok mantaf x la.......................,5,10/8/2025 0:04,Netral
gak penting cuk,bagaimana caranya untuk stop langganan netflix,3,10/7/2025 22:44,Netral
Aiza basmah Basmah,Mantep bngt,5,10/7/2025 15:57,Netral
Dennis Tri,oke,5,10/7/2025 7:28,Netral
Konan Kalsa,good,5,10/6/2025 21:33,Netral
Namira Ilyas,good,5,10/6/2025 17:45,Netral
Dina maulana,ok,5,10/6/2025 6:00,Netral
Zeefanya Bellia Qeeran Prayogo,bagus aja,5,10/5/2025 23:25,Netral
Alfaqir lukman bin Tatang,mudah dan update vidionya,5,10/5/2025 20:07,Netral
Mochamad Rudiasnawan,ok,5,10/5/2025 18:54,Netral
Jamal Uddin,netflix sangat menyenangkan,5,10/5/2025 14:06,Netral
rozaq luqman,oke,5,10/3/2025 19:32,Netral
Firaa Dzafiraa,oke,5,10/3/2025 17:23,Netral
Ipan Pos,Oke,5,10/3/2025 10:01,Netral
leo resya,good,5,9/29/2025 17:06,Netral
Yoga Dwi,lebih murah donk,5,9/29/2025 9:36,Netral
Fajeri Anoor,Good,5,9/28/2025 17:55,Netral
Sri indratama Wahyu jatmiko,ok,5,9/28/2025 16:19,Netral
Feri Ferdianto,bagus bagus untuk gta-nya,5,9/28/2025 13:17,Netral
Fahrur Rozi,mantap,5,9/28/2025 6:28,Netral
Rasdianti Anti,baik,5,9/27/2025 18:31,Netral
Vincent Anton,Luar Biasa mantap!!! Tolong tambahkan game WWE 2025 Netflix Edition di Indonesia agar saya bisa men download dan memainkannya...,5,10/11/2025 13:21,Positif
Azzahra Gartini,selalu puas buat dipake maraton atau nungguin drama korea kesayangan,5,10/11/2025 11:57,Positif
dewi gotami,"sangat bagus, cepat , banyak pilihan film.. aku mau nanya apakah ntr akan muncul demon slayer infinity castle?? semoga muncul di netflix",5,8/24/2025 13:27,Positif
Sam Tius,ok mantap tapi kenapa sekarang tidak lagi kompatible dengan perangkat proyektor saya awal semulanya didukung sekarang kok tidak bisa lagi padahal udahlangganan,5,8/25/2025 2:04,Positif
Medina Niswa,bagus banget kartun kartunnyaa!🌟,5,8/24/2025 21:36,Positif
Hania Sasira,aplikasi ini sangat baik,5,8/24/2025 16:11,Positif
Ronauly Margaret,"Filmnya bagus-bagus. customer servicenya top! barusan baru sadar bahwa kedebet otomatis padahal sudah saya batalkan sebelumnya di aplikasi pembayaran lain, direfund dong.. terima kasih banyak atas profesionalitasnya. kedepannya kalau ada kesempatan saya akan pakai lagi.",5,8/27/2025 13:43,Positif
Ronauly Margaret,"Filmnya bagus-bagus. customer servicenya top! barusan baru sadar bahwa kedebet otomatis padahal sudah saya batalkan sebelumnya di aplikasi pembayaran lain, direfund dong.. terima kasih banyak atas profesionalitasnya. kedepannya kalau ada kesempatan saya akan pakai lagi.",5,8/27/2025 13:43,Positif
Iovy Zety Da Costa Belo,APLIKASI STREAMING terbaik ...,5,8/27/2025 19:31,Positif
Ferdy Silvera_666,Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => LABINAK ( 2025 ) + QODRAT 2 ( 2025 ) + JANUR IRENG ( 2025 ) + PENJAGAL IBLIS ( 2025 ) + JALAN PULANG ( 2025 ) + PEMBANTAIAN DUKUN SANTET ( 2025 ) + DENDAM MALAM KELAM ( 2025 ) + PENGEPUNGAN DI BUKIT DURI + GUNDIK ( 2025 ) + MUSLIHAT ( 2025 ) & PAMALI - TUMBAL 🤘🥁😎,3,9/22/2025 13:11,Positif 
Fina Fina,tempat nonton film yang sangat pas,4,10/12/2025 7:35,Positif 
Ikbal Nazrul,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,4,10/5/2025 16:16,Positif 
Budi Astuti,"netfils slalu update filmnya, dan banyak pilihan ",4,9/22/2025 10:45,positif 
Fairuz Alya aprilia,seru tapi minusnya dikeluarin pas kita lagi asik asik nonton katanya itu karna nonton film banyak TPI gt jg,4,9/9/2025 17:48,Positif 
Ardi Akbar,Mantap,4,9/6/2025 22:51,Positif 
Khaerul Arbani,Film yang di tampilkan sangat bagus cuma kecewa dengan hasil penelusuran banyak film yang di cari tidak ada.,4,9/5/2025 23:55,Positif 
Faisal Riyadi,"Sangat nyaman karena minimnya jeda iklan dalam pengalaman menonton,kekurangannya hanya film yang tersedia cenderung tak lengkap dan terkadang dalam satu series,ada film yang sudah tak tayang,dan filmnya seringkali ngefreeze yang mengurangi rasa senang",4,8/31/2025 12:23,positif 
Reza Umar Syarifudin,"sangat bagus banyak film indo, dan drama koreanya",4,8/28/2025 20:42,positif 
zafranrazaq Pratama,akhirnya bisa nonton anime dengan legal,5,10/9/2025 22:29,Positif 
jua akbar,sangat baik untuk menonton film,5,10/8/2025 20:17,Positif 
puspita sari17,seruuuu banyak filem filem horor suka banget sudah mau 1 tahun langganan terus,5,10/7/2025 20:24,Positif 
Israfil Phil,Alhamdulillah ada aplikasi ini bisa nonton tanpa ke bioskop heheh,5,10/7/2025 17:12,Positif 
jo maddie,keren Topp mantap is the best,5,10/7/2025 12:15,Positif 
Infinix Hijau,kualitas flimnya bagus sekali,5,10/6/2025 17:12,Positif 
Elly Ezra,netflix seru yang drama,5,10/6/2025 14:10,Positif 
Alfaqir lukman bin Tatang,mudah dan update vidionya,5,10/5/2025 20:07,Positif 
Albert Horman,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,5,10/5/2025 15:42,Positif 
Jamal Uddin,netflix sangat menyenangkan,5,10/5/2025 14:06,Positif 
ARYANDI APRIAN,the best,5,10/2/2025 17:46,Positif 
eko septian,"Sekedar Saran untuk Netflix agar lebih memperbanyak update film terbaru dari bioskop, agar jadi pilihan terbaik bagi para penikmat Netflix",5,10/2/2025 7:18,Positif 
Welly rakhmawan,the best ahhhh,5,10/1/2025 11:46,Positif 
Zaenudin Syah putra,APK NONTON FILM FAVORIT❤❤,5,9/30/2025 22:17,Positif 
Andira Ara,aplikasi nya bagus bisa nonton semua film di bioskop tetapi bayar agak mahal,5,9/30/2025 15:04,Positif 
Yoga Dwi,lebih murah donk,5,9/29/2025 9:36,Positif 
Afrah Fathi Fauzani,"Nonton Hiburan Drama Film Horror, Video juga HD 100% persen No HOAX 👍👍👍",5,9/28/2025 21:58,Positif 
Karsa erika Demiansyah2,keren,5,9/26/2025 22:16,Positif 
Muhamad Khairurizal,sangat baguss sekali 🔥🔥🔥,5,9/26/2025 8:46,Positif 
Bibik Bik,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,5,9/26/2025 5:41,Positif 
Feby Dwi ayu,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",5,9/25/2025 11:47,Positif 
Herman Daniel Gomes De Carvalho,bagus sekali saya suka,5,9/24/2025 9:55,Positif 
Valianto Dharma saputra,"keren banget, walau udah banyak film drama anime yang mendadak hilang",5,9/24/2025 0:03,Positif 
Chelsea Eugenia,saya suka aplikasi ini karena filmnya asli walaupun harus berbayar tapi saya tetap suka nonton di netflix,5,9/23/2025 15:25,Positif 
Dzaky Shankara,bagus banget,5,9/22/2025 23:44,Positif 
Dwimaya Sari,terima kasih ya telah membuat game ini kayak aku suka game ini cuman gaya bisa main GTA San Andreas definitive edition game ini bagus sangat terima kasih saya aku senang,5,9/22/2025 19:27,Positif 
Budi Haryanto,Filmnya bagus bagus...,5,9/22/2025 13:42,Positif 
Sri Yana,film nya bagus banget,5,9/21/2025 18:35,Positif 
Ancha Chaidir,mantapppp,5,9/21/2025 12:20,Positif 
Ilah ilah. nurlailah,BAGUSS BGT gatau poko nya bintang 5,5,9/21/2025 9:09,Positif 
Aisya Hanindya,bagus,5,9/20/2025 17:37,Positif 
Amel Imel,Sang at membantu,5,9/19/2025 15:12,Positif 
Lanang Jinan B Adamson,saya sangat suka namun saya ingin jika anda menambahkan movie demon slayer terbaru secepatnya,5,9/16/2025 21:30,Positif 
liora,aplikasi ini sangat bagus film film nya lengkap dan seru saya kasih bintang 5,5,9/16/2025 16:46,Positif 
Asep Kusno,sangat membantu,5,9/14/2025 18:27,Positif 
Syafa Azzahra,y bgs klo bisa bnykin anime ny.,5,9/14/2025 14:40,Positif 
umiyana savitri,Aku suka Netflix karena aku menonton yang hangat film,5,9/14/2025 7:56,Positif 
Dodiet Haryanto,bagus banget Netflix nya terus biasa nya di tv ada KPop demon hunters terbuat dari Netflix dan pas aku lihat foto foto orang dan ternyata ada sebuah film KPop demon hunters tapi tidak bisa nonton film itu mendingan saya nonton di tv dan rupa nya film itu ada di bioskop aku nonton situ bagus nyo,5,9/13/2025 19:07,Positif 
Hasan Kamil,terima kasih sungguh memuaskan,5,9/12/2025 23:48,Positif 
Aeelin,aku cinta netflix🥰🥰🥰,5,9/11/2025 8:26,Positif 
ahmad syahril,nonton video filmnya jadi asik,5,9/11/2025 7:45,Positif 
Roy Martin,widih mantap bisa download game GTA ah mantap sekali😍🥰🥰🥰🥰,5,9/10/2025 20:01,Positif 
Azzam,Mantap,5,9/9/2025 16:42,Positif 
Neni Priyatno,Josss,5,9/9/2025 14:35,Positif 
Godlife harvi,Good,5,9/9/2025 4:01,Positif 
Srimulya Srimulyaningsih,Alhamdulillah filmnya bagus2,5,9/7/2025 19:12,Positif 
Riswar Riswar,Sangat bagus untuk hiburan semua orang,5,9/5/2025 22:56,Positif 
ANDREAS SIMORANGKIR,very good,5,9/5/2025 8:30,Positif 
Yeni Mlywty,"neflix bagus film-film yang aku suka tonton hampir smua ada di neflix ,standar kualitasnya juga bagus dan jernih",5,9/5/2025 8:00,Positif 
Kang Manto,MANTABBBSSS,5,9/4/2025 17:02,Positif 
Ayu Putri,Pelayanan customer service netflix super duper cepat. Saldo shopepay sempet terpotong gara² netflix padahal sudah nonaktif akun netflixnya. Tapi waktu chat ke Cs langsung respon dan uang kembali. makasih banyak,5,9/2/2025 18:22,Positif 
alvi devari,sebenarnya Netflix ini bagus banyak film dubing nya mempermudah banget dan semuanya lancar lancar aja walaupun ketika kita coba log in atau masuk sering terlihat sandi salah padahal benar itu restart aja terus aplikasinya dan kalau benar tidak bisa masuk nya mending pakai email atau ganti kata sandi rada ribet sih dan juga filmnya tidak terlalu lengkap tapi bagus dan keren jadi ya lumayanlah untuk Netflix semoga bisa di perbarui untuk memperbaiki bugnya dan perbanyak filmnya,5,9/1/2025 14:02,Positif 
Kobra Rafka,"bagus jir tapi minus nya s1 Spongebob gak ada jadi nya merasa kurang,tapi gapapa yang penting ada Spongebob,horee i like Spongebob,lain kali adain Doraemon series + movie Doraemon nya dub indo,gak ngerti bahasa jepang soalnya",5,9/1/2025 13:42,Positif 
Eifel Llita24,sangat bagus,5,8/31/2025 13:38,Positif 
Novan Novan,bagus sekali menurut gw cocok,5,8/30/2025 10:28,Positif 
yuanita ramadhani,banyak pilihan film bagus dan murah,5,8/29/2025 15:10,Positif 
je ham,sangat memuaskan,5,8/28/2025 20:56,Positif 
Hendra Hermawan,bgus bnget aku ksih lima bintang,5,8/28/2025 20:33,Positif 
Hhasyim29,bagus banget saya jadi bisa nonton squid game menurut saya ini aplikasi rekomendasi banget sih lengkap semua film ada,5,8/28/2025 15:22,Positif 
Theresia Desi Selvia,best,5,8/27/2025 21:33,Positif 
Iovy Zety Da Costa Belo,APLIKASI STREAMING terbaik ...,5,8/27/2025 19:31,Positif 
Ronauly Margaret,"Filmnya bagus-bagus. customer servicenya top! barusan baru sadar bahwa kedebet otomatis padahal sudah saya batalkan sebelumnya di aplikasi pembayaran lain, direfund dong.. terima kasih banyak atas profesionalitasnya. kedepannya kalau ada kesempatan saya akan pakai lagi.",5,8/27/2025 13:43,Positif 
Gst Gst,mantap,5,8/26/2025 18:11,Positif 
YesYouAre,mantap,5,8/26/2025 11:42,Positif 
Lato Denny Cherly,tetbaik,5,8/25/2025 23:35,Positif 
Farhan Basiq,bagus,5,8/25/2025 20:19,Positif 
prida hari pangestu,uwow,5,8/24/2025 18:49,Positif 
Dev Vargash,keren,5,8/24/2025 17:01,Positif 
Hania Sasira,aplikasi ini sangat baik,5,8/24/2025 16:11,Positif 
Dhesi Cabang,terbaik,5,8/24/2025 10:15,Positif 
Aviya Kiki,baguss banyak bgt film nya!!!,5,8/23/2025 21:32,Positif 
Rendi Hermawan,good,5,8/23/2025 3:15,Positif 
Edi Candra,bagus buat hiburan,5,8/21/2025 20:45,Positif 
abi ummy,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,4,9/26/2025 4:24,Positif 
Hardi Insta,"sinyal bagus , buka aplikasi streaming lain lancar tapi giliran bukan aplikasi ini malah ga bisa",4,9/23/2025 0:34,Positif 
hakim gaming,"tolong lebih diperbanyak lagi dubbing indo nya, di anime populer film populer ataupun series populer",4,10/7/2025 13:00,Positif 
roihan 01,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,4,10/5/2025 20:03,Positif 
Muhammad Fauzan,"film yang diadaptasi oleh Netflix banyak yang bagus, tapi untuk aplikasinya sendiri sangatlah sampah, cuma butuh satu fitur, yang sangat sangat akan bermanfaat bagi banyak orang, dan saya yakin pihak Netflix bisa membuat fitur ini dalam waktu 1 jam, 'dual subtitle' saya akan kembali untuk memberikan bintang 5 setelah fitur tersebut dirilis",3,9/12/2025 3:25,Positif 
Mely 088,Cocok banget nonton di sini pas gbt,4,9/5/2025 10:47,Positif 
M. Rifki Ferdiansyah,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",5,10/6/2025 10:58,Positif 
